motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
ZNF146	0.0002922814087257573	0.0002254923985851844	0.0	0.0	0.0	0.0
ZNF232	0.0003979372339786855	0.0009143145391613367	0.0	0.0	0.0	0.0
ZNF24	0.0006213361691053733	0.0005447849090164318	0.0	0.0	0.0	0.0
ZNF250	0.0021562154136607983	0.0009787688084868036	0.0	0.0	0.0	0.0
ZNF257	0.002959076247959322	0.0034893547840461753	0.0	0.0	0.0	0.0
ZNF274	0.00263812589170486	0.0026132721141313236	0.0	0.0	0.0	0.0
ZNF28	0.0025403295461467216	0.0031309112373218992	0.0	0.0	0.0	0.0
ZNF282	0.001566419099053747	0.0018513235257330964	0.0	0.0	0.0	0.0
ZNF306	0.0006864907056444409	0.0007392543106544974	0.0	0.0	0.0	0.0
ZNF317	0.001732453217771687	0.0019125304346943842	0.0	0.0	0.0	0.0
ZNF320	0.003851957981800654	0.004125621383535104	0.0	0.0	0.0	0.0
ZNF324	0.002793136134837876	0.0031151330448205817	0.0	0.0	0.0	0.0
ZNF329	0.001479946065637994	0.0023031296684844715	0.0	0.0	0.0	0.0
ZNF331	0.0007431009975056871	0.000516646827183372	0.0	0.0	0.0	0.0
ZNF332	0.0018232682578405053	0.0038080154841796856	0.0	0.0	0.0	0.0
ZNF335	0.004437885852410821	0.006281779221332538	0.0	0.0	0.0	0.0
ZNF354	0.0006755705727763896	0.00120386381357205	0.0	0.0	0.0	0.0
ZNF382	0.0022427242172371295	0.0017192351071840702	0.0	0.0	0.0	0.0
ZNF384/1	0.0003499576510598798	0.00032098745326844796	0.0	0.0	0.0	0.0
ZNF384/2	0.001813394532105697	0.0031076293208775786	0.0	0.0	0.0	0.0
ZNF41	0.003148521623739315	0.00411521811097864	0.0	0.0	0.0	0.0
ZNF410	0.0002345007507626107	0.0002593939782890532	0.0	0.0	0.0	0.0
ZNF418	0.002490360863109958	0.0029160226351136664	0.0	0.0	0.0	0.0
ZNF423	0.001422151656763855	0.0018001442204207214	0.0	0.0	0.0	0.0
ZNF431	0.0028805751000830263	0.003160317211534756	0.0	0.0	0.0	0.0
ZNF435	0.0003078065658589871	0.0012345680446226948	0.0	0.0	0.0	0.0
